% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,uniqueness,dispensability,representative
GO:0010309,"acireductone dioxygenase [iron(II)-requiring] activity",0.011%,0.908,0.629,"catechol oxidase activity"
GO:0010277,"chlorophyllide a oxygenase [overall] activity",0.004%,0.912,0.194,"catechol oxidase activity"
GO:0019239,"deaminase activity",0.250%,0.961,0.019,"deaminase activity"
GO:0008759,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity",0.017%,0.916,0.019,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0016817,"hydrolase activity, acting on acid anhydrides",7.223%,0.878,0.409,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0016788,"hydrolase activity, acting on ester bonds",4.643%,0.883,0.242,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004190,"aspartic-type endopeptidase activity",0.269%,0.881,0.616,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004175,"endopeptidase activity",1.918%,0.863,0.679,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0047429,"nucleoside-triphosphate diphosphatase activity",0.138%,0.891,0.153,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0052861,"glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group",0.008%,0.909,0.129,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004298,"threonine-type endopeptidase activity",0.127%,0.887,0.176,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004386,"helicase activity",1.222%,0.870,0.565,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0003777,"microtubule motor activity",0.218%,0.887,0.386,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0003937,"IMP cyclohydrolase activity",0.040%,0.910,0.479,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0008234,"cysteine-type peptidase activity",0.411%,0.879,0.543,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0003924,"GTPase activity",1.135%,0.871,0.517,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0003678,"DNA helicase activity",0.530%,0.875,0.442,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0019104,"DNA N-glycosylase activity",0.171%,0.891,0.557,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0070008,"serine-type exopeptidase activity",0.179%,0.880,0.494,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0016887,"ATPase activity",4.560%,0.853,0.670,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004560,"alpha-L-fucosidase activity",0.033%,0.901,0.503,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004563,"beta-N-acetylhexosaminidase activity",0.044%,0.899,0.526,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0004568,"chitinase activity",0.021%,0.903,0.464,"UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"
GO:0008661,"1-deoxy-D-xylulose-5-phosphate synthase activity",0.033%,0.899,0.020,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004134,"4-alpha-glucanotransferase activity",0.030%,0.868,0.599,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004143,"diacylglycerol kinase activity",0.036%,0.872,0.411,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004144,"diacylglycerol O-acyltransferase activity",0.026%,0.886,0.399,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004652,"polynucleotide adenylyltransferase activity",0.022%,0.876,0.275,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004645,"phosphorylase activity",0.064%,0.861,0.636,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016772,"transferase activity, transferring phosphorus-containing groups",8.504%,0.847,0.446,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016758,"transferase activity, transferring hexosyl groups",0.898%,0.843,0.298,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016762,"xyloglucan:xyloglucosyl transferase activity",0.015%,0.873,0.568,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0030785,"[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity",0.001%,0.899,0.125,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016307,"phosphatidylinositol phosphate kinase activity",0.032%,0.873,0.346,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",4.703%,0.826,0.410,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008483,"transaminase activity",0.736%,0.876,0.207,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0009029,"tetraacyldisaccharide 4'-kinase activity",0.016%,0.878,0.270,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004156,"dihydropteroate synthase activity",0.035%,0.895,0.594,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0015020,"glucuronosyltransferase activity",0.027%,0.865,0.659,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008146,"sulfotransferase activity",0.093%,0.893,0.164,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0046912,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",0.159%,0.873,0.500,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008171,"O-methyltransferase activity",0.247%,0.863,0.483,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008649,"rRNA methyltransferase activity",0.286%,0.860,0.662,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004335,"galactokinase activity",0.024%,0.871,0.356,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",2.285%,0.845,0.673,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0016746,"transferase activity, transferring acyl groups",2.893%,0.861,0.291,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004349,"glutamate 5-kinase activity",0.032%,0.876,0.313,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",0.010%,0.870,0.550,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008757,"S-adenosylmethionine-dependent methyltransferase activity",0.940%,0.850,0.653,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0003848,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity",0.035%,0.879,0.165,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004402,"histone acetyltransferase activity",0.066%,0.879,0.474,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004421,"hydroxymethylglutaryl-CoA synthase activity",0.012%,0.888,0.145,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008184,"glycogen phosphorylase activity",0.035%,0.866,0.606,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0004479,"methionyl-tRNA formyltransferase activity",0.033%,0.874,0.344,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0003968,"RNA-directed 5'-3' RNA polymerase activity",0.034%,0.876,0.470,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0008318,"protein prenyltransferase activity",0.023%,0.897,0.150,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0000234,"phosphoethanolamine N-methyltransferase activity",0.001%,0.897,0.399,"1-deoxy-D-xylulose-5-phosphate synthase activity"
GO:0019808,"polyamine binding",0.030%,0.974,0.027,"polyamine binding"
GO:0016829,"lyase activity",3.596%,0.953,0.031,"lyase activity"
GO:0010997,"anaphase-promoting complex binding",0.022%,0.944,0.031,"anaphase-promoting complex binding"
GO:0008017,"microtubule binding",0.256%,0.935,0.466,"anaphase-promoting complex binding"
GO:0046983,"protein dimerization activity",1.157%,0.928,0.610,"anaphase-promoting complex binding"
GO:0046982,"protein heterodimerization activity",0.280%,0.935,0.504,"anaphase-promoting complex binding"
GO:0031369,"translation initiation factor binding",0.030%,0.943,0.361,"anaphase-promoting complex binding"
GO:0051082,"unfolded protein binding",0.486%,0.933,0.533,"anaphase-promoting complex binding"
GO:0051087,"chaperone binding",0.101%,0.939,0.422,"anaphase-promoting complex binding"
GO:0031625,"ubiquitin protein ligase binding",0.107%,0.939,0.434,"anaphase-promoting complex binding"
GO:0005516,"calmodulin binding",0.072%,0.940,0.389,"anaphase-promoting complex binding"
GO:0019825,"oxygen binding",0.057%,0.973,0.033,"oxygen binding"
GO:0008289,"lipid binding",0.519%,0.970,0.041,"lipid binding"
GO:0030247,"polysaccharide binding",0.099%,0.966,0.043,"polysaccharide binding"
GO:0005536,"glucose binding",0.025%,0.958,0.644,"polysaccharide binding"
GO:0008061,"chitin binding",0.114%,0.967,0.043,"chitin binding"
GO:0043531,"ADP binding",0.183%,0.944,0.222,"chitin binding"
GO:0035091,"phosphatidylinositol binding",0.195%,0.958,0.045,"phosphatidylinositol binding"
GO:0046872,"metal ion binding",15.425%,0.940,0.519,"phosphatidylinositol binding"
GO:0030145,"manganese ion binding",0.256%,0.954,0.119,"phosphatidylinositol binding"
GO:0005506,"iron ion binding",1.548%,0.947,0.500,"phosphatidylinositol binding"
GO:0005507,"copper ion binding",0.315%,0.953,0.423,"phosphatidylinositol binding"
GO:0016491,"oxidoreductase activity",12.783%,0.948,0.053,"oxidoreductase activity"
GO:0005515,"protein binding",4.410%,0.964,0.062,"protein binding"
GO:0020037,"heme binding",1.357%,0.957,0.070,"heme binding"
GO:0003676,"nucleic acid binding",21.226%,0.945,0.179,"heme binding"
GO:0000166,"nucleotide binding",20.185%,0.930,0.332,"heme binding"
GO:0050662,"coenzyme binding",3.468%,0.941,0.080,"coenzyme binding"
GO:0050661,"NADP binding",0.587%,0.931,0.640,"coenzyme binding"
GO:0030170,"pyridoxal phosphate binding",1.157%,0.928,0.696,"coenzyme binding"
GO:0071949,"FAD binding",0.264%,0.930,0.585,"coenzyme binding"
GO:0008097,"5S rRNA binding",0.043%,0.953,0.087,"5S rRNA binding"
GO:0000987,"core promoter proximal region sequence-specific DNA binding",0.094%,0.948,0.277,"5S rRNA binding"
GO:0003746,"translation elongation factor activity",0.369%,0.943,0.417,"5S rRNA binding"
GO:0003723,"RNA binding",5.283%,0.940,0.269,"5S rRNA binding"
GO:0003677,"DNA binding",12.549%,0.935,0.487,"5S rRNA binding"
GO:0003697,"single-stranded DNA binding",0.219%,0.952,0.176,"5S rRNA binding"
