"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","cluster","BHadjusted"
"7525","GO:0006468",5.6858501556897e-10,1,42,746,"protein phosphorylation","BP","6",1.12987319010481e-06
"19165","GO:0055085",1.71124962806815e-09,1,28,327,"transmembrane transport","BP","6",2.5823593616309e-06
"5318","GO:0005506",3.55884033721327e-08,0.99999999084115,29,180,"iron ion binding","MF","6",3.53600444504949e-05
"14725","GO:0020037",5.93180456748721e-08,0.999999982854202,33,194,"heme binding","MF","6",4.85736564987261e-05
"5365","GO:0005524",8.19954730394614e-08,1,58,1482,"ATP binding","MF","6",5.75077661793823e-05
"17235","GO:0043531",4.38815923948187e-05,0.999991904043479,11,98,"ADP binding","MF","6",0.0124571482410339
"19175","GO:0055114",0.000129737442261755,0.999930164648117,57,806,"oxidation-reduction process","BP","6",0.0315685617160593
"11455","GO:0009694",0.000160315820762661,0.999999231106238,2,8,"jasmonic acid metabolic process","BP","6",0.0323083169829907
"11575","GO:0009864",0.000160315820762661,0.999999231106238,2,8,"induced systemic resistance, jasmonic acid mediated signaling pathway","BP","6",0.0323083169829907
"19635","GO:0080123",0.000160315820762661,0.999999231106238,2,8,"jasmonate-amino synthetase activity","MF","6",0.0323083169829907
"15245","GO:0030599",0.000224452466343833,0.999983711551197,5,19,"pectinesterase activity","MF","6",0.0418147930658987
"16785","GO:0042545",0.000224452466343833,0.999983711551197,5,19,"cell wall modification","BP","6",0.0418147930658987
