"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","sample1","sample2","direction","genotype","analysis"
"53716","GO:0016831",0.00226881746004289,0.999818573411919,4,11,"carboxy-lyase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53717","GO:0019752",0.00254024756689321,0.999687996815079,5,17,"carboxylic acid metabolic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53718","GO:0022857",0.00299249762383143,0.99916954593124,10,54,"transmembrane transporter activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53719","GO:0031461",0.00379234492747029,0.99990947921727,2,8,"cullin-RING ubiquitin ligase complex","CC","wtambr","wtaother","all","wt","wtambr_wtaother"
"53720","GO:0016630",0.0045919283819804,0.999937758763994,2,3,"protochlorophyllide reductase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53721","GO:0016758",0.00519561637991107,0.998092718106409,13,110,"transferase activity, transferring hexosyl groups","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53722","GO:0016788",0.00527223247360152,0.998203411992051,12,66,"hydrolase activity, acting on ester bonds","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53723","GO:0009694",0.00592452688650506,0.999822024003411,2,8,"jasmonic acid metabolic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53724","GO:0009864",0.00592452688650506,0.999822024003411,2,8,"induced systemic resistance, jasmonic acid mediated signaling pathway","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53725","GO:0080123",0.00592452688650506,0.999822024003411,2,8,"jasmonate-amino synthetase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53726","GO:0004177",0.00659906191955824,0.999033475843959,5,14,"aminopeptidase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53727","GO:0016747",0.00686317171561761,0.998309627510157,7,61,"transferase activity, transferring acyl groups other than amino-acyl groups","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53728","GO:0006812",0.0068646087031003,0.998807131681697,5,36,"cation transport","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53729","GO:0016760",0.00784078249123268,0.999319340981468,3,18,"cellulose synthase (UDP-forming) activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53730","GO:0016746",0.00788280766317067,0.998940325319666,4,24,"transferase activity, transferring acyl groups","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53731","GO:0004386",0.00891262908407917,0.999163591210549,3,24,"helicase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53732","GO:0008146",0.00912356517639677,0.99846782479439,6,12,"sulfotransferase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53733","GO:0016491",0.0094141018539355,0.994158232654236,43,434,"oxidoreductase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53734","GO:0008171",0.00966601066622755,0.998178869502604,6,15,"O-methyltransferase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53735","GO:0006810",0.00977483226255924,0.99443691267895,32,242,"transport","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53736","GO:0003968",0.0111967286169047,0.999605860888452,2,5,"RNA-directed RNA polymerase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53737","GO:0016020",0.0117413809686449,0.991949918170975,64,664,"membrane","CC","wtambr","wtaother","all","wt","wtambr_wtaother"
"53738","GO:0003825",0.0118781818981783,1,1,1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53739","GO:0004451",0.0121381615530275,1,1,1,"isocitrate lyase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53740","GO:0004252",0.0122352636993417,0.995081445794495,13,81,"serine-type endopeptidase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53741","GO:0003995",0.0125236253449942,0.999444215227448,2,8,"acyl-CoA dehydrogenase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53742","GO:0070652",0.0126767750742023,0.999454457411211,2,7,"HAUS complex","CC","wtambr","wtaother","all","wt","wtambr_wtaother"
"53743","GO:0008235",0.0127006466948864,0.998460579247864,4,9,"metalloexopeptidase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53744","GO:0004018",0.0129700800151101,1,1,1,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53745","GO:0006188",0.0129700800151101,1,1,1,"IMP biosynthetic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53746","GO:0009152",0.0129700800151101,1,1,1,"purine ribonucleotide biosynthetic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53747","GO:0000982",0.0130135884349277,1,1,1,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53748","GO:0000987",0.0130135884349277,1,1,1,"core promoter proximal region sequence-specific DNA binding","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53749","GO:0008356",0.0156445598316792,1,1,1,"asymmetric cell division","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53750","GO:0009956",0.0156445598316792,1,1,1,"radial pattern formation","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53751","GO:0048366",0.0156445598316792,1,1,1,"leaf development","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53752","GO:0008654",0.0163652439527539,0.9983323235941,3,10,"phospholipid biosynthetic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53753","GO:0004657",0.0168265925004538,1,1,1,"proline dehydrogenase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53754","GO:0006562",0.0168265925004538,1,1,1,"proline catabolic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53755","GO:0006857",0.0188880916482244,0.997658091420601,3,24,"oligopeptide transport","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53756","GO:0004108",0.0198790013816568,1,1,1,"citrate (Si)-synthase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53757","GO:0006101",0.0198790013816568,1,1,1,"citrate metabolic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53758","GO:0004512",0.0217983329101727,0.999052707620618,2,4,"inositol-3-phosphate synthase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53759","GO:0006021",0.0217983329101727,0.999052707620618,2,4,"inositol biosynthetic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53760","GO:0031668",0.0236154936062495,0.999859058377589,1,2,"cellular response to extracellular stimulus","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53761","GO:0004349",0.0236157014497355,0.999859055881754,1,2,"glutamate 5-kinase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53762","GO:0004350",0.0236157014497355,0.999859055881754,1,2,"glutamate-5-semialdehyde dehydrogenase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53763","GO:0043412",0.0236161588176599,0.999859050389491,1,2,"macromolecule modification","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53764","GO:0005319",0.0245334364699,0.999847817331102,1,2,"lipid transporter activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53765","GO:0006817",0.0252960401562182,0.999838146370167,1,2,"phosphate ion transport","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53766","GO:0008883",0.0256243677534785,0.999833889747182,1,2,"glutamyl-tRNA reductase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53767","GO:0016829",0.0258248995480227,0.99346365361372,6,19,"lyase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53768","GO:0010333",0.0265512196186676,0.994711126446703,5,12,"terpene synthase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53769","GO:0005777",0.0266506015345367,0.998114975810344,2,11,"peroxisome","CC","wtambr","wtaother","all","wt","wtambr_wtaother"
"53770","GO:0004000",0.0289787532944146,1,1,1,"adenosine deaminase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53771","GO:0016301",0.0290136592952751,0.99395256683435,4,46,"kinase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53772","GO:0051225",0.0299940995100451,0.997879220275592,2,8,"spindle assembly","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53773","GO:0005216",0.0315393508518628,0.995173755740973,3,29,"ion channel activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53774","GO:0004560",0.0326317703596104,0.999729648529868,1,2,"alpha-L-fucosidase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53775","GO:0000234",0.0331578513211297,0.99972078581329,1,2,"phosphoethanolamine N-methyltransferase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53776","GO:0006656",0.0331578513211297,0.99972078581329,1,2,"phosphatidylcholine biosynthetic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53777","GO:0030244",0.0348273615624295,0.994541226935246,3,24,"cellulose biosynthetic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53778","GO:0051513",0.035213694088209,0.999580511569995,1,3,"regulation of monopolar cell growth","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53779","GO:0008661",0.0352139248659078,0.999580506027429,1,3,"1-deoxy-D-xylulose-5-phosphate synthase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53780","GO:0015299",0.0366026317954088,0.994319059911903,3,18,"solute:proton antiporter activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53781","GO:0030785",0.0386865587955947,0.99961882877806,1,2,"[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53782","GO:0030247",0.0389197742719707,0.992499840038227,4,12,"polysaccharide binding","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53783","GO:0009029",0.0393024168331806,1,1,1,"tetraacyldisaccharide 4'-kinase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53784","GO:0005774",0.0398910484469468,0.999460518225275,1,3,"vacuolar membrane","CC","wtambr","wtaother","all","wt","wtambr_wtaother"
"53785","GO:0006885",0.0398910484469468,0.999460518225275,1,3,"regulation of pH","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53786","GO:0009651",0.0398910484469468,0.999460518225275,1,3,"response to salt stress","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53787","GO:0015385",0.0398910484469468,0.999460518225275,1,3,"sodium:proton antiporter activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53788","GO:0055075",0.0398910484469468,0.999460518225275,1,3,"potassium ion homeostasis","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53789","GO:0005516",0.0403637692916577,0.993448037009647,3,19,"calmodulin binding","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53790","GO:0004563",0.0410137584597187,0.999429430565334,1,3,"beta-N-acetylhexosaminidase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53791","GO:0004335",0.041696511199441,0.999556520003611,1,2,"galactokinase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53792","GO:0003777",0.0422508563065125,0.986388771049873,6,58,"microtubule motor activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53793","GO:0007018",0.0422508563065125,0.986388771049873,6,58,"microtubule-based movement","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53794","GO:0008131",0.0434083214828361,1,2,2,"primary amine oxidase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53795","GO:0009308",0.0434083214828361,1,2,2,"amine metabolic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53796","GO:0016620",0.045856467945966,0.991895432834632,3,28,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53797","GO:0006285",0.0463261156968782,1,1,1,"base-excision repair, AP site formation","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"53798","GO:0004645",0.0466741360021355,0.999167646353149,1,4,"phosphorylase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53799","GO:0008184",0.0466741360021355,0.999167646353149,1,4,"glycogen phosphorylase activity","MF","wtambr","wtaother","all","wt","wtambr_wtaother"
"53800","GO:0006629",0.0477880617650506,0.979843187150212,9,94,"lipid metabolic process","BP","wtambr","wtaother","all","wt","wtambr_wtaother"
"55675","GO:0004672",2.29172024363027e-09,1,39,730,"protein kinase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55676","GO:0006468",2.29172024363027e-09,1,39,730,"protein phosphorylation","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55677","GO:0006508",5.33838303062145e-09,0.999999998924182,30,265,"proteolysis","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55678","GO:0005524",1.94598518369497e-08,1,65,1471,"ATP binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55679","GO:0010468",1.74752126336226e-05,0.999999976915022,2,5,"regulation of gene expression","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55680","GO:0004097",2.53271994509594e-05,1,4,4,"catechol oxidase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55681","GO:0046148",2.53271994509594e-05,1,4,4,"pigment biosynthetic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55682","GO:0031461",2.80275636545503e-05,0.999999943941456,2,8,"cullin-RING ubiquitin ligase complex","CC","wtambr","wtaother","down","wt","wtambr_wtaother"
"55683","GO:0016705",3.51575102877013e-05,0.999991492455667,15,125,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55684","GO:0016846",0.00011547047151087,1,2,2,"carbon-sulfur lyase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55685","GO:0046983",0.000146623543155718,0.99994175343288,28,158,"protein dimerization activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55686","GO:0008152",0.000172749131403296,0.999927643563522,28,486,"metabolic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55687","GO:0004386",0.000240076447108734,0.999993671826863,3,24,"helicase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55688","GO:0004177",0.000666889254966292,0.999943203733975,5,14,"aminopeptidase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55689","GO:0003824",0.0008722384927227,0.999540403602763,39,710,"catalytic activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55690","GO:0055085",0.000935103009004,0.999646882625151,18,322,"transmembrane transport","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55691","GO:0005506",0.000954718567125711,0.999656548095302,17,165,"iron ion binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55692","GO:0005515",0.0011906156521791,0.999204417713886,94,2453,"protein binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55693","GO:0004252",0.0013832296117933,0.999619314113447,11,81,"serine-type endopeptidase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55694","GO:0008289",0.001561743047166,0.999678059261792,8,42,"lipid binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55695","GO:0004018",0.00169705601185986,1,1,1,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55696","GO:0006188",0.00169705601185986,1,1,1,"IMP biosynthetic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55697","GO:0009152",0.00169705601185986,1,1,1,"purine ribonucleotide biosynthetic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55698","GO:0031668",0.00194150213094965,0.999999058413817,1,2,"cellular response to extracellular stimulus","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55699","GO:0043412",0.00194564777434319,0.999999054386464,1,2,"macromolecule modification","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55700","GO:0008235",0.00215072414448259,0.999845246444721,4,9,"metalloexopeptidase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55701","GO:0019538",0.00251742704562441,0.999681078344502,5,20,"protein metabolic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55702","GO:0051513",0.00291158957258871,0.999997175612264,1,3,"regulation of monopolar cell growth","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55703","GO:0008654",0.00305801257168667,0.99983193161684,3,10,"phospholipid biosynthetic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55704","GO:0016758",0.00399380978244403,0.99888147443129,9,110,"transferase activity, transferring hexosyl groups","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55705","GO:0005777",0.00402465199679601,0.999894246239649,2,11,"peroxisome","CC","wtambr","wtaother","down","wt","wtambr_wtaother"
"55706","GO:0004108",0.00628671233637544,1,1,1,"citrate (Si)-synthase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55707","GO:0006101",0.00628671233637544,1,1,1,"citrate metabolic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55708","GO:0004512",0.00705846074668774,0.999831729478241,2,4,"inositol-3-phosphate synthase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55709","GO:0006021",0.00705846074668774,0.999831729478241,2,4,"inositol biosynthetic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55710","GO:0008026",0.00717178942538158,0.999726333860596,2,21,"ATP-dependent helicase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55711","GO:0020037",0.00760914516737779,0.996551551501697,18,176,"heme binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55712","GO:0016817",0.00885874356434999,0.999965613045804,1,8,"hydrolase activity, acting on acid anhydrides","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55713","GO:0005488",0.00909278237208536,0.99683525340254,10,293,"binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55714","GO:0010277",0.00951682895839014,0.999963698220832,1,5,"chlorophyllide a oxygenase [overall] activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55715","GO:0030145",0.0102820175159881,0.998255195702412,5,16,"manganese ion binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55716","GO:0016301",0.0108427953458523,0.998862037694802,3,46,"kinase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55717","GO:0030785",0.0120776720966728,0.999963375866182,1,2,"[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55718","GO:0004000",0.0123493402917363,1,1,1,"adenosine deaminase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55719","GO:0046912",0.0131752360584809,0.999927428407351,1,6,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55720","GO:0031625",0.0137604555756012,0.998586034340154,3,14,"ubiquitin protein ligase binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55721","GO:0004335",0.0141082140283124,0.999949974544186,1,2,"galactokinase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55722","GO:0030170",0.014144682550334,0.996953769690798,5,71,"pyridoxal phosphate binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55723","GO:0003676",0.0164186047005608,0.989490234200542,42,627,"nucleic acid binding","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55724","GO:0008033",0.0166698314820998,0.995950714711859,6,27,"tRNA processing","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55725","GO:0004190",0.0167453455125994,0.996255894592468,5,63,"aspartic-type endopeptidase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55726","GO:0009725",0.0178778020810426,0.999848904023599,1,17,"response to hormone","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55727","GO:0006812",0.018237648299522,0.997706701317656,3,36,"cation transport","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55728","GO:0009029",0.0192513373805721,1,1,1,"tetraacyldisaccharide 4'-kinase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55729","GO:0006855",0.0205146595093956,0.996171865801394,4,43,"drug transmembrane transport","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55730","GO:0015238",0.0205146595093956,0.996171865801394,4,43,"drug transmembrane transporter activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55731","GO:0015297",0.0205146595093956,0.996171865801394,4,43,"antiporter activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55732","GO:0004143",0.0211264889331464,0.999807501718813,1,7,"diacylglycerol kinase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55733","GO:0007205",0.0211264889331464,0.999807501718813,1,7,"protein kinase C-activating G-protein coupled receptor signaling pathway","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55734","GO:0004421",0.0228644077454103,0.999824256873256,1,3,"hydroxymethylglutaryl-CoA synthase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55735","GO:0004107",0.0230407246340958,0.999865967596657,1,2,"chorismate synthase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55736","GO:0006285",0.0239617728626889,1,1,1,"base-excision repair, AP site formation","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55737","GO:0009694",0.0240813923948692,0.999744421254528,1,8,"jasmonic acid metabolic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55738","GO:0009864",0.0240813923948692,0.999744421254528,1,8,"induced systemic resistance, jasmonic acid mediated signaling pathway","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55739","GO:0080123",0.0240813923948692,0.999744421254528,1,8,"jasmonate-amino synthetase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55740","GO:0003712",0.0279906554096331,0.996409618717513,3,11,"transcription cofactor activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55741","GO:0019104",0.0298915098945634,0.999773622257583,1,2,"DNA N-glycosylase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55742","GO:0008757",0.0321822496221622,1,2,2,"S-adenosylmethionine-dependent methyltransferase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55743","GO:0003906",0.0336126939127467,0.999713203452574,1,2,"DNA-(apurinic or apyrimidinic site) lyase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55744","GO:0008696",0.033801769598288,1,1,1,"4-amino-4-deoxychorismate lyase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55745","GO:0046656",0.033801769598288,1,1,1,"folic acid biosynthetic process","BP","wtambr","wtaother","down","wt","wtambr_wtaother"
"55746","GO:0008146",0.0350729142998722,0.993475270947232,4,12,"sulfotransferase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
"55747","GO:0000155",0.0362553980729988,0.999370407470644,1,19,"phosphorelay sensor kinase activity","MF","wtambr","wtaother","down","wt","wtambr_wtaother"
