"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","type"
"39","GO:0006396",0.0162223158090416,0.995254057055967,7,73,"RNA processing","BP","down"
"40","GO:0004144",0.0166372800952605,0.999278591090775,2,5,"diacylglycerol O-acyltransferase activity","MF","down"
"41","GO:0031369",0.0177416472799037,0.999203817864487,2,5,"translation initiation factor binding","MF","down"
"42","GO:0016817",0.0200863554928002,0.99885700902298,2,8,"hydrolase activity, acting on acid anhydrides","MF","down"
"43","GO:0004412",0.028343531728197,1,1,1,"homoserine dehydrogenase activity","MF","down"
"44","GO:0009067",0.028343531728197,1,1,1,"aspartate family amino acid biosynthetic process","BP","down"
"45","GO:0001026",0.0283446853637011,1,1,1,"TFIIIB-type transcription factor activity","MF","down"
"46","GO:0019948",0.0283449786463229,1,1,1,"SUMO activating enzyme activity","MF","down"
"47","GO:0030688",0.0283590362169673,1,1,1,"preribosome, small subunit precursor","CC","down"
"48","GO:0000387",0.0286708463139547,0.996290380013911,3,11,"spliceosomal snRNP assembly","BP","down"
"49","GO:0003938",0.0290988431918464,1,1,1,"IMP dehydrogenase activity","MF","down"
"50","GO:0001510",0.0291270210616165,0.997976160564536,2,8,"RNA methylation","BP","down"
"51","GO:0004641",0.0323308186472323,1,1,1,"phosphoribosylformylglycinamidine cyclo-ligase activity","MF","down"
"52","GO:0042026",0.0329001824743853,0.997439034686581,2,10,"protein refolding","BP","down"
"53","GO:0004070",0.0339966225048891,1,1,1,"aspartate carbamoyltransferase activity","MF","down"
"54","GO:0008536",0.0372202802201878,0.996850543415682,2,11,"Ran GTPase binding","MF","down"
"55","GO:0003743",0.0397333956946685,0.989100873890825,5,43,"translation initiation factor activity","MF","down"
"56","GO:0006413",0.0463825705925288,0.989147806521213,4,29,"translational initiation","BP","down"
"57","GO:0000469",0.0467084543239552,1,1,1,"cleavage involved in rRNA processing","BP","down"
"58","GO:0005488",0.0476708114908268,0.974776100679919,15,294,"binding","MF","down"
"59","GO:0000213",0.0487485152914529,1,1,1,"tRNA-intron endonuclease activity","MF","down"
"60","GO:0008022",0.050111485113945,1,1,1,"protein C-terminus binding","MF","down"
"61","GO:0006884",0.0507296356669832,1,1,1,"cell volume homeostasis","BP","down"
"62","GO:0034709",0.0507296356669832,1,1,1,"methylosome","CC","down"
"63","GO:0034715",0.0507296356669832,1,1,1,"pICln-Sm protein complex","CC","down"
"64","GO:0051082",0.054087934691618,0.981444814669662,6,66,"unfolded protein binding","MF","down"
"65","GO:0004832",0.0558846132698341,0.999198347070413,1,2,"valine-tRNA ligase activity","MF","down"
"66","GO:0006438",0.0558846132698341,0.999198347070413,1,2,"valyl-tRNA aminoacylation","BP","down"
"67","GO:0004821",0.0565025397938074,0.999180256007149,1,2,"histidine-tRNA ligase activity","MF","down"
"68","GO:0006427",0.0565025397938074,0.999180256007149,1,2,"histidyl-tRNA aminoacylation","BP","down"
"69","GO:0045017",0.0574117088819506,0.999153260192692,1,2,"glycerolipid biosynthetic process","BP","down"
"70","GO:0042255",0.0578119215390257,1,1,1,"ribosome assembly","BP","down"
"71","GO:0003713",0.0594452541805912,0.993878532639547,2,8,"transcription coactivator activity","MF","down"
"72","GO:0016846",0.0603640739697961,0.999062484515226,1,2,"carbon-sulfur lyase activity","MF","down"
"73","GO:0006265",0.0657210237757205,0.992379992122933,2,11,"DNA topological change","BP","down"
"74","GO:0005730",0.0669956822411075,0.99227108426014,2,10,"nucleolus","CC","down"
"75","GO:0006520",0.075703036171187,0.983641445111696,3,28,"cellular amino acid metabolic process","BP","down"
"76","GO:0006625",0.0770355958391319,0.998459610044281,1,2,"protein targeting to peroxisome","BP","down"
"77","GO:0045132",0.0822829473669345,0.998237689282726,1,2,"meiotic chromosome segregation","BP","down"
"78","GO:0004820",0.0826486085523263,0.997640204056385,1,3,"glycine-tRNA ligase activity","MF","down"
"79","GO:0006426",0.0826486085523263,0.997640204056385,1,3,"glycyl-tRNA aminoacylation","BP","down"
"80","GO:0004097",0.0826805322873664,0.997638344990787,1,3,"catechol oxidase activity","MF","down"
"81","GO:0046148",0.0826805322873664,0.997638344990787,1,3,"pigment biosynthetic process","BP","down"
"82","GO:0004072",0.0827163986744512,0.997636255418958,1,3,"aspartate kinase activity","MF","down"
"83","GO:0004484",0.082839310835576,0.997629087284859,1,3,"mRNA guanylyltransferase activity","MF","down"
"84","GO:0005643",0.0860288789380754,0.987993638912605,2,14,"nuclear pore","CC","down"
"85","GO:0004407",0.0871679751807073,0.997369434588722,1,3,"histone deacetylase activity","MF","down"
"86","GO:0016575",0.0871679751807073,0.997369434588722,1,3,"histone deacetylation","BP","down"
"87","GO:0043141",0.08733818189177,0.997358937721285,1,3,"ATP-dependent 5'-3' DNA helicase activity","MF","down"
"88","GO:0006388",0.0878643411659239,0.997984484364181,1,2,"tRNA splicing, via endonucleolytic cleavage and ligation","BP","down"
"89","GO:0016790",0.0971412370603315,0.996717456099593,1,3,"thiolester hydrolase activity","MF","down"
"90","GO:0016743",0.0986365568870178,0.996613192030039,1,3,"carboxyl- or carbamoyltransferase activity","MF","down"
"91","GO:0046914",0.0986649052325641,0.997443681211482,1,2,"transition metal ion binding","MF","down"
"92","GO:1901671",0.0986649052325641,0.997443681211482,1,2,"positive regulation of superoxide dismutase activity","BP","down"
"93","GO:0031515",0.101063142758164,0.997314409690217,1,2,"tRNA (m1A) methyltransferase complex","CC","down"
"94","GO:0000413",0.104405383565586,0.974302784057565,3,26,"protein peptidyl-prolyl isomerization","BP","down"
"95","GO:0000126",0.105580701159735,0.996106544593388,1,3,"transcription factor TFIIIB complex","CC","down"
"96","GO:0000228",0.106960743385747,0.996001433349135,1,3,"nuclear chromosome","CC","down"
"97","GO:0016070",0.107719250637809,0.995943034119332,1,3,"RNA metabolic process","BP","down"
"98","GO:0016780",0.111484368279649,0.995646542473878,1,3,"phosphotransferase activity, for other substituted phosphate groups","MF","down"
"99","GO:0003899",0.11360318701697,0.952949382860541,6,63,"DNA-directed RNA polymerase activity","MF","down"
"100","GO:0003755",0.117571072189028,0.969461497957621,3,27,"peptidyl-prolyl cis-trans isomerase activity","MF","down"
"101","GO:0032300",0.11814384451442,0.995095049247301,1,3,"mismatch repair complex","CC","down"
"102","GO:0004834",0.119634522323422,0.994357643552298,1,4,"tryptophan synthase activity","MF","down"
"103","GO:0004170",0.123440758596258,0.99594403857792,1,2,"dUTP diphosphatase activity","MF","down"
"104","GO:0046080",0.123440758596258,0.99594403857792,1,2,"dUTP metabolic process","BP","down"
"105","GO:0008026",0.126631184925191,0.977052409197471,2,21,"ATP-dependent helicase activity","MF","down"
"106","GO:0008442",0.127447371117902,0.995666867198992,1,2,"3-hydroxyisobutyrate dehydrogenase activity","MF","down"
"107","GO:0045040",0.132207095679587,0.993815331946364,1,3,"protein import into mitochondrial outer membrane","BP","down"
"108","GO:0010468",0.134294068295173,0.99238314034981,1,5,"regulation of gene expression","BP","down"
"109","GO:0006359",0.134646419546738,0.993577274098024,1,3,"regulation of transcription from RNA polymerase III promoter","BP","down"
"110","GO:0010277",0.134911174426797,0.992310874987693,1,5,"chlorophyllide a oxygenase [overall] activity","MF","down"
"111","GO:0051726",0.137402895144763,0.992496067216691,1,4,"regulation of cell cycle","BP","down"
"112","GO:0008757",0.141541370209008,0.99461329867881,1,2,"S-adenosylmethionine-dependent methyltransferase activity","MF","down"
"113","GO:0032259",0.143352705153939,0.972483551917074,2,17,"methylation","BP","down"
"114","GO:0006370",0.144649997184673,0.991122303633138,1,5,"7-methylguanosine mRNA capping","BP","down"
"115","GO:0006873",0.144958219161893,0.992517657111942,1,3,"cellular ion homeostasis","BP","down"
"116","GO:0003916",0.148752853862157,0.991158580466862,1,4,"DNA topoisomerase activity","MF","down"
"117","GO:0017089",0.151375023340231,0.99181435713912,1,3,"glycolipid transporter activity","MF","down"
"118","GO:0046836",0.151375023340231,0.99181435713912,1,3,"glycolipid transport","BP","down"
"119","GO:0051861",0.151375023340231,0.99181435713912,1,3,"glycolipid binding","MF","down"
"120","GO:0032549",0.153865602371003,0.969750429313241,2,14,"ribonucleoside binding","MF","down"
"121","GO:0005385",0.155294046590231,0.99136806698123,1,3,"zinc ion transmembrane transporter activity","MF","down"
"122","GO:0071577",0.155294046590231,0.99136806698123,1,3,"zinc II ion transmembrane transport","BP","down"
"123","GO:0003735",0.156631391357455,0.889541094445342,26,344,"structural constituent of ribosome","MF","down"
"124","GO:0006406",0.157219425397965,0.9932947119376,1,2,"mRNA export from nucleus","BP","down"
"125","GO:0008541",0.157219425397965,0.9932947119376,1,2,"proteasome regulatory particle, lid subcomplex","CC","down"
"126","GO:0004673",0.158483034604811,0.988851141053856,1,6,"protein histidine kinase activity","MF","down"
"127","GO:0010105",0.158483034604811,0.988851141053856,1,6,"negative regulation of ethylene-activated signaling pathway","BP","down"
"128","GO:0038199",0.158483034604811,0.988851141053856,1,6,"ethylene receptor activity","MF","down"
"129","GO:0050896",0.158483034604811,0.988851141053856,1,6,"response to stimulus","BP","down"
"130","GO:0051740",0.158483034604811,0.988851141053856,1,6,"ethylene binding","MF","down"
"131","GO:0007094",0.161535241749364,0.988844298891289,1,5,"mitotic spindle assembly checkpoint","BP","down"
"132","GO:0001522",0.163284585598574,0.965537838041836,2,21,"pseudouridine synthesis","BP","down"
"133","GO:0010997",0.165881220808636,0.987746121917775,1,6,"anaphase-promoting complex binding","MF","down"
"134","GO:0097027",0.165881220808636,0.987746121917775,1,6,"ubiquitin-protein transferase activator activity","MF","down"
"135","GO:1904668",0.165881220808636,0.987746121917775,1,6,"positive regulation of ubiquitin protein ligase activity","BP","down"
"136","GO:0004540",0.167107730367297,0.988031104327624,1,5,"ribonuclease activity","MF","down"
"137","GO:0006353",0.1697885008733,0.987628911902385,1,5,"DNA-templated transcription, termination","BP","down"
"138","GO:0000162",0.169901788863425,0.987122037111767,1,6,"tryptophan biosynthetic process","BP","down"
"139","GO:0004096",0.171348847348243,0.988142712633503,1,4,"catalase activity","MF","down"
"140","GO:0003883",0.173567570449881,0.987049749977346,1,5,"CTP synthase activity","MF","down"
"141","GO:0005525",0.176642203785817,0.895535693893501,11,199,"GTP binding","MF","down"
"142","GO:0000775",0.17722507513548,0.986475566559979,1,5,"chromosome, centromeric region","CC","down"
"143","GO:0003917",0.183665550887155,0.985431626676937,1,5,"DNA topoisomerase type I activity","MF","down"
"144","GO:0046907",0.186786156419265,0.984910631412401,1,5,"intracellular transport","BP","down"
"145","GO:0008033",0.188351808292547,0.956470125408874,2,22,"tRNA processing","BP","down"
"146","GO:0006189",0.188987814495373,0.983929868173008,1,6,"'de novo' IMP biosynthetic process","BP","down"
"147","GO:0008519",0.196251032486279,0.983269284566355,1,5,"ammonium transmembrane transporter activity","MF","down"
"148","GO:0015696",0.196251032486279,0.983269284566355,1,5,"ammonium transport","BP","down"
"149","GO:0072488",0.196251032486279,0.983269284566355,1,5,"ammonium transmembrane transport","BP","down"
"150","GO:0031461",0.205577467733108,0.979946718320706,1,8,"cullin-RING ubiquitin ligase complex","CC","down"
"151","GO:0003918",0.207971975067217,0.980370858296746,1,6,"DNA topoisomerase type II (ATP-hydrolyzing) activity","MF","down"
"152","GO:0006207",0.208179448904423,0.98032980831872,1,6,"'de novo' pyrimidine nucleobase biosynthetic process","BP","down"
"153","GO:0008652",0.213727003994294,0.978247286566915,1,8,"cellular amino acid biosynthetic process","BP","down"
"154","GO:0006412",0.216945626006276,0.841497627310516,25,348,"translation","BP","down"
"155","GO:0005840",0.221254299999207,0.839017926209853,24,330,"ribosome","CC","down"
"156","GO:0006913",0.222120676858515,0.97686463171918,1,7,"nucleocytoplasmic transport","BP","down"
"157","GO:0006855",0.22777437290166,0.918110899147261,3,45,"drug transmembrane transport","BP","down"
"158","GO:0015238",0.22777437290166,0.918110899147261,3,45,"drug transmembrane transporter activity","MF","down"
"159","GO:0015297",0.22777437290166,0.918110899147261,3,45,"antiporter activity","MF","down"
"160","GO:0006568",0.229973775243923,0.975111132646481,1,7,"tryptophan metabolic process","BP","down"
"161","GO:0003682",0.237793448158863,0.935619499629656,2,27,"chromatin binding","MF","down"
"162","GO:0030488",0.243248323171607,0.971984872358445,1,7,"tRNA methylation","BP","down"
"163","GO:0005759",0.244687440510452,0.972360938256899,1,6,"mitochondrial matrix","CC","down"
"164","GO:0046983",0.24838834706642,0.850793929451501,9,149,"protein dimerization activity","MF","down"
"165","GO:0005667",0.248850000076816,0.970041475774661,1,8,"transcription factor complex","CC","down"
"166","GO:0016597",0.254946528723655,0.9273588480151,2,31,"amino acid binding","MF","down"
"167","GO:0000148",0.259466567521118,0.967271926523598,1,8,"1,3-beta-D-glucan synthase complex","CC","down"
"168","GO:0003843",0.259466567521118,0.967271926523598,1,8,"1,3-beta-D-glucan synthase activity","MF","down"
"169","GO:0006075",0.259466567521118,0.967271926523598,1,8,"(1->3)-beta-D-glucan biosynthetic process","BP","down"
"170","GO:0002161",0.261785389137378,0.966166052149404,1,9,"aminoacyl-tRNA editing activity","MF","down"
"171","GO:0005742",0.263879059746441,0.968753134704783,1,5,"mitochondrial outer membrane translocase complex","CC","down"
"172","GO:0047429",0.265069329806127,0.968452020151627,1,5,"nucleoside-triphosphate diphosphatase activity","MF","down"
"173","GO:0006479",0.269882781130695,0.963497887158069,1,10,"protein methylation","BP","down"
"174","GO:0008308",0.280968329825936,0.961955247653984,1,7,"voltage-gated anion channel activity","MF","down"
"175","GO:0008641",0.284106739729715,0.958914734213634,1,11,"small protein activating enzyme activity","MF","down"
"176","GO:0042393",0.284195263549761,0.913710617827017,2,26,"histone binding","MF","down"
"177","GO:0005777",0.286286195789413,0.958240479591851,1,11,"peroxisome","CC","down"
"178","GO:0006694",0.286305219638831,0.958610851240477,1,10,"steroid biosynthetic process","BP","down"
"179","GO:0005681",0.29141877321541,0.911329584318074,2,20,"spliceosomal complex","CC","down"
"180","GO:0006821",0.29737382596912,0.954713412102624,1,11,"chloride transport","BP","down"
"181","GO:0005829",0.30074779075322,0.95599283993665,1,7,"cytosol","CC","down"
"182","GO:0006351",0.303210506978288,0.82151018438041,7,117,"transcription, DNA-templated","BP","down"
"183","GO:0008654",0.303507943322236,0.953114726749711,1,10,"phospholipid biosynthetic process","BP","down"
"184","GO:0006418",0.309942518205127,0.898952300439292,2,36,"tRNA aminoacylation for protein translation","BP","down"
"185","GO:0005779",0.311753795244746,0.952457901487052,1,7,"integral component of peroxisomal membrane","CC","down"
"186","GO:0004812",0.320785626489393,0.892856587712896,2,37,"aminoacyl-tRNA ligase activity","MF","down"
"187","GO:0030042",0.322845473299328,0.950007580251073,1,6,"actin filament depolymerization","BP","down"
"188","GO:0016925",0.325750993515358,0.94773227182684,1,7,"protein sumoylation","BP","down"
"189","GO:0031047",0.335869347114737,0.94074506907387,1,12,"gene silencing by RNA","BP","down"
"190","GO:0005200",0.343720683706987,0.937328922477295,1,13,"structural constituent of cytoskeleton","MF","down"
"191","GO:0046872",0.344328995657451,0.749807301081298,15,332,"metal ion binding","MF","down"
"192","GO:0006464",0.346595333964711,0.937034625317629,1,11,"cellular protein modification process","BP","down"
"193","GO:0045735",0.347943571939766,0.937739405661094,1,9,"nutrient reservoir activity","MF","down"
"194","GO:0031625",0.34866924238912,0.935359113947529,1,13,"ubiquitin protein ligase binding","MF","down"
"195","GO:0006621",0.353651671803592,0.936380701377484,1,8,"protein retention in ER lumen","BP","down"
"196","GO:0046923",0.353651671803592,0.936380701377484,1,8,"ER retention sequence binding","MF","down"
"197","GO:0005886",0.362182020382189,0.930719942292654,1,11,"plasma membrane","CC","down"
"198","GO:0030247",0.364265763033205,0.92984865360937,1,11,"polysaccharide binding","MF","down"
"199","GO:0006397",0.36788230618749,0.865711841768388,2,31,"mRNA processing","BP","down"
"200","GO:0006298",0.370158453200063,0.926008213172707,1,14,"mismatch repair","BP","down"
"201","GO:0030983",0.370158453200063,0.926008213172707,1,14,"mismatched DNA binding","MF","down"
"202","GO:0006979",0.371936832277163,0.828723168267478,3,44,"response to oxidative stress","BP","down"
"203","GO:0003887",0.374308322583057,0.923561181365441,1,16,"DNA-directed DNA polymerase activity","MF","down"
"204","GO:0006221",0.380035183300182,0.923043706512778,1,11,"pyrimidine nucleotide biosynthetic process","BP","down"
"205","GO:0004707",0.380530634116335,0.921061629341213,1,15,"MAP kinase activity","MF","down"
"206","GO:0003779",0.382729431212888,0.856308515591025,2,31,"actin binding","MF","down"
"207","GO:0004674",0.396979653380491,0.845647147794039,2,41,"protein serine/threonine kinase activity","MF","down"
"208","GO:0015934",0.400800917217436,0.846419219064033,2,23,"large ribosomal subunit","CC","down"
"209","GO:0005741",0.415016142053599,0.906574546093193,1,11,"mitochondrial outer membrane","CC","down"
"210","GO:0043169",0.416776228114812,0.832022834346936,2,42,"cation binding","MF","down"
"211","GO:0010333",0.41832607463835,0.904914895973471,1,11,"terpene synthase activity","MF","down"
"212","GO:0043248",0.419095890069523,0.906318313411875,1,9,"proteasome assembly","BP","down"
"213","GO:0055085",0.420140728065467,0.692478824139823,12,323,"transmembrane transport","BP","down"
"214","GO:0000166",0.423189821104695,0.682076344537669,14,341,"nucleotide binding","MF","down"
"215","GO:0000155",0.42366423741566,0.898768463691108,1,19,"phosphorelay sensor kinase activity","MF","down"
"216","GO:0032502",0.430344518724364,0.896489365921003,1,15,"developmental process","BP","down"
"217","GO:0003950",0.435359297821658,0.89378829464397,1,15,"NAD+ ADP-ribosyltransferase activity","MF","down"
"218","GO:0006241",0.438809426421441,0.894240159346331,1,11,"CTP biosynthetic process","BP","down"
"219","GO:0003678",0.442199579749757,0.889629101995006,1,16,"DNA helicase activity","MF","down"
"220","GO:0008080",0.444001147498644,0.814167699378452,2,31,"N-acetyltransferase activity","MF","down"
"221","GO:0006633",0.450625498194146,0.767277966877004,3,60,"fatty acid biosynthetic process","BP","down"
"222","GO:0004601",0.473624111236071,0.790998595147234,2,35,"peroxidase activity","MF","down"
"223","GO:0019843",0.474630701728059,0.792727478576181,2,25,"rRNA binding","MF","down"
"224","GO:0008171",0.475762824118664,0.870950583285856,1,14,"O-methyltransferase activity","MF","down"
"225","GO:0009982",0.479489050582095,0.866515920701222,1,19,"pseudouridine synthase activity","MF","down"
"226","GO:0016788",0.48135925147389,0.74119123130514,3,66,"hydrolase activity, acting on ester bonds","MF","down"
"227","GO:0046873",0.481611746178001,0.865886201516426,1,17,"metal ion transmembrane transporter activity","MF","down"
"228","GO:0015629",0.485132677737404,0.866521338155254,1,12,"actin cytoskeleton","CC","down"
"229","GO:0004650",0.486339486425603,0.862166689561598,1,19,"polygalacturonase activity","MF","down"
"230","GO:0005737",0.487304509133132,0.646813991947138,9,231,"cytoplasm","CC","down"
"231","GO:0004518",0.496901369665202,0.85496599113503,1,20,"nuclease activity","MF","down"
"232","GO:0009451",0.508619272383091,0.846760140478479,1,21,"RNA modification","BP","down"
"233","GO:0030145",0.511481221272847,0.84723345498772,1,15,"manganese ion binding","MF","down"
"234","GO:0006310",0.523418037377602,0.836685583150345,1,20,"DNA recombination","BP","down"
"235","GO:0008408",0.523608421836555,0.836901944758608,1,19,"3'-5' exonuclease activity","MF","down"
"236","GO:0006869",0.525533211632307,0.841995997207863,1,10,"lipid transport","BP","down"
"237","GO:0006260",0.544459443901997,0.729538325598114,2,50,"DNA replication","BP","down"
"238","GO:0051539",0.546947949990031,0.818902788583921,1,21,"4 iron, 4 sulfur cluster binding","MF","down"
"239","GO:0006511",0.547112368256391,0.68141625869382,3,74,"ubiquitin-dependent protein catabolic process","BP","down"
"240","GO:0004386",0.556701578077858,0.810170909403882,1,25,"helicase activity","MF","down"
"241","GO:0016829",0.559735684077213,0.810115842364142,1,18,"lyase activity","MF","down"
"242","GO:0048544",0.566359289869486,0.802666824416649,1,24,"recognition of pollen","BP","down"
"243","GO:0015935",0.577537200848137,0.701921029206822,2,32,"small ribosomal subunit","CC","down"
"244","GO:0036459",0.582425488517745,0.788126135824455,1,29,"thiol-dependent ubiquitinyl hydrolase activity","MF","down"
"245","GO:0016740",0.590959236918879,0.781406017413302,1,26,"transferase activity","MF","down"
"246","GO:0004722",0.596466701570797,0.679563983792076,2,58,"protein serine/threonine phosphatase activity","MF","down"
"247","GO:0016779",0.600638486434565,0.772153755393123,1,29,"nucleotidyltransferase activity","MF","down"
"248","GO:0016773",0.606098750658652,0.767205711594934,1,29,"phosphotransferase activity, alcohol group as acceptor","MF","down"
"249","GO:0016226",0.621583481680315,0.756088013981872,1,19,"iron-sulfur cluster assembly","BP","down"
"250","GO:0006950",0.626404122140343,0.650000742807879,2,48,"response to stress","BP","down"
"251","GO:0006414",0.629240827368596,0.747435217766808,1,22,"translational elongation","BP","down"
"252","GO:0051537",0.631936068667532,0.744817157537131,1,22,"2 iron, 2 sulfur cluster binding","MF","down"
"253","GO:0007165",0.645046391780663,0.579788662052463,3,104,"signal transduction","BP","down"
"254","GO:0042744",0.646744671850962,0.730503395665287,1,21,"hydrogen peroxide catabolic process","BP","down"
"255","GO:0008565",0.646827122185468,0.728080553325416,1,28,"protein transporter activity","MF","down"
"256","GO:0007017",0.649925866311476,0.726078563184432,1,24,"microtubule-based process","BP","down"
"257","GO:0016579",0.65868729894352,0.714494869373007,1,34,"protein deubiquitination","BP","down"
"258","GO:0031072",0.668900334299552,0.706853855111186,1,22,"heat shock protein binding","MF","down"
"259","GO:0050661",0.675757596703071,0.695807015028804,1,35,"NADP binding","MF","down"
"260","GO:0004185",0.685130847119774,0.685629335814979,1,33,"serine-type carboxypeptidase activity","MF","down"
"261","GO:0030001",0.707438378732107,0.556982346225952,2,55,"metal ion transport","BP","down"
"262","GO:0005622",0.715552217878228,0.37170776628231,18,353,"intracellular","CC","down"
"263","GO:0016614",0.731751877597422,0.628851633270858,1,33,"oxidoreductase activity, acting on CH-OH group of donors","MF","down"
"264","GO:0003924",0.733212074481556,0.52236111450709,2,83,"GTPase activity","MF","down"
"265","GO:0005789",0.74032447586088,0.61803433495869,1,31,"endoplasmic reticulum membrane","CC","down"
"266","GO:0043565",0.746244049249288,0.397690000203214,6,170,"sequence-specific DNA binding","MF","down"
"267","GO:0005783",0.74810030417173,0.607304707702273,1,32,"endoplasmic reticulum","CC","down"
"268","GO:0016301",0.759517555473934,0.5890897766295,1,46,"kinase activity","MF","down"
"269","GO:0006470",0.759773061035609,0.487255754350995,2,77,"protein dephosphorylation","BP","down"
"270","GO:0050662",0.761520845298503,0.587569930499207,1,37,"coenzyme binding","MF","down"
"271","GO:0003700",0.774867099275748,0.335719432990345,9,264,"transcription factor activity, sequence-specific DNA binding","MF","down"
"272","GO:0016758",0.785448867029562,0.405785203307821,3,113,"transferase activity, transferring hexosyl groups","MF","down"
"273","GO:0006139",0.785766916720862,0.551631725968022,1,38,"nucleobase-containing compound metabolic process","BP","down"
"274","GO:0008289",0.790625999811285,0.543794762704247,1,40,"lipid binding","MF","down"
"275","GO:0000160",0.824141046030165,0.488207801089886,1,44,"phosphorelay signal transduction system","BP","down"
"276","GO:0022857",0.827238228420883,0.481965544891407,1,51,"transmembrane transporter activity","MF","down"
"277","GO:0006886",0.841065887610463,0.323995457345872,3,120,"intracellular protein transport","BP","down"
"278","GO:0051536",0.88771178247551,0.364089515744307,1,48,"iron-sulfur cluster binding","MF","down"
"279","GO:0008270",0.893240674791013,0.150452881692943,23,776,"zinc ion binding","MF","down"
"280","GO:0006355",0.901547153440359,0.148370598744172,16,521,"regulation of transcription, DNA-templated","BP","down"
"281","GO:0008137",0.905848390870557,0.324442344702575,1,37,"NADH dehydrogenase (ubiquinone) activity","MF","down"
"282","GO:0004553",0.920051333766846,0.217199472507958,2,128,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF","down"
"283","GO:0008152",0.922591352900208,0.126436492311396,12,488,"metabolic process","BP","down"
"284","GO:0020037",0.927062206319122,0.159795321144837,4,174,"heme binding","MF","down"
"285","GO:0007264",0.92979422241766,0.197548582203962,2,83,"small GTPase mediated signal transduction","BP","down"
